"COD_LOCAL","COD_PLU","DAT_DIA_CALEND","QTD_VENDA_PREVISAO_SISTEMA"
1341,465861,2019-07-11,4.366
1302,61179,2019-07-11,5.648
2435,88718,2019-07-11,0.0056
1341,12997,2019-07-11,1.0969
1717,16759,2019-07-11,0.781
2435,3212028,2019-07-11,0.0022
1341,63173,2019-07-11,1.7269
1717,62718,2019-07-11,0.5568
1302,95877,2019-07-11,1.9691
2435,70942,2019-07-11,1.4009
1302,9430,2019-07-11,7.256
2435,40372,2019-07-11,2.4939
1738,9638,2019-07-11,0.5425
1738,472807,2019-07-11,0.6356
1302,31240,2019-07-11,3.5329
1717,473057,2019-07-11,1.2194
1341,181860,2019-07-11,0.9034
1717,169851,2019-07-11,88.6904
1717,142724,2019-07-11,1.0698
2435,280877,2019-07-11,0
1738,89586,2019-07-11,0.2928
1717,244640,2019-07-11,1.9033
1717,16087,2019-07-11,3.7397
1717,70942,2019-07-11,1.5185
1302,60066,2019-07-11,0.3424
1341,417488,2019-07-11,0.0026
1729,74667,2019-07-11,0.1527
1302,41034,2019-07-11,5.3755
1729,60066,2019-07-11,0.4388
1717,871099,2019-07-11,2.0233
1717,57288,2019-07-11,0.1954
2435,472449,2019-07-11,0.1865
2435,10238,2019-07-11,0.0315
1302,128681,2019-07-11,0.3917
1738,37051,2019-07-11,0.1611
1302,81641,2019-07-11,0.5894
1341,40259,2019-07-11,0.2038
1341,52375,2019-07-11,1.0554
1738,77521,2019-07-11,0.1385
1717,77910,2019-07-11,0.4788
1729,376,2019-07-11,2.1529
1341,89135,2019-07-11,0.4241
2435,11945,2019-07-11,0.0821
1302,73127,2019-07-11,7e-04
1738,10528,2019-07-11,0.9404
1302,37051,2019-07-11,0.216
1302,11662,2019-07-11,0.8291
2435,441209,2019-07-11,8e-04
1738,8280,2019-07-11,0.0473
1729,25331,2019-07-11,0.138
1729,483964,2019-07-11,0.0025
1717,6668,2019-07-11,2.9714
1717,280877,2019-07-11,0.0744
2435,472371,2019-07-11,0.4419
1717,52542,2019-07-11,0.6422
1729,10993,2019-07-11,4e-04
1341,65535,2019-07-11,0.7167
1729,40372,2019-07-11,2.096
1717,473088,2019-07-11,0.1667
1729,12249,2019-07-11,1.8477
1738,395960,2019-07-11,0.0161
1729,105491,2019-07-11,0.4004
1717,86103,2019-07-11,0.2745
2435,73486,2019-07-11,0.1326
2435,11280,2019-07-11,0.4048
1302,465670,2019-07-11,0
1717,789,2019-07-11,2.26
1341,10238,2019-07-11,0.5744
1341,12010,2019-07-11,0.4415
1302,89326,2019-07-11,0.1988
1341,9638,2019-07-11,0.3213
1717,171908,2019-07-11,1e-04
1729,86103,2019-07-11,0.0787
1717,426947,2019-07-11,1.0417
1341,314367,2019-07-11,2.4934
1302,465717,2019-07-11,3.6498
1341,440332,2019-07-11,1.0561
1717,135184,2019-07-11,0.6235
2435,10191,2019-07-11,2.1043
1717,888,2019-07-11,1.3574
1717,95389,2019-07-11,1.071
1341,74667,2019-07-11,4.0535
1717,81641,2019-07-11,0.2371
1302,52351,2019-07-11,1.4312
2435,61643,2019-07-11,0.0593
1341,472807,2019-07-11,1.9434
1302,8440,2019-07-11,0.3134
1717,417402,2019-07-11,0.4708
1341,441384,2019-07-11,0.0188
1341,25645,2019-07-11,0.8621
1717,60066,2019-07-11,0
1341,10993,2019-07-11,0.71
2435,175357,2019-07-11,1.2486
1729,11662,2019-07-11,0.1674
2435,57059,2019-07-11,2.174
1738,16759,2019-07-11,0.7899
1729,617987,2019-07-11,0.0844
1341,119979,2019-07-11,0.0539
1341,10191,2019-07-11,2.5429
2435,74612,2019-07-11,0.1414
1729,102162,2019-07-11,0.2707
1341,263382,2019-07-11,0.001
1717,1250,2019-07-11,0.3836
2435,74667,2019-07-11,9e-04
1341,473217,2019-07-11,2.3853
1302,86103,2019-07-11,2.2273
1717,28202,2019-07-11,5.7434
1717,62749,2019-07-11,0.1505
1341,994996,2019-07-11,18.8761
1302,468589,2019-07-11,8.0885
1341,46503,2019-07-11,0.0688
1717,83379,2019-07-11,0.0747
1738,15035,2019-07-11,0.0033
1729,44349,2019-07-11,32.8418
1717,9638,2019-07-11,0.1683
1729,52924,2019-07-11,0.7425
2435,995108,2019-07-11,0.3297
1341,10528,2019-07-11,3.7035
1302,52955,2019-07-11,0.7322
1341,471121,2019-07-11,0.5361
1302,4820833,2019-07-11,38.8861
1729,426947,2019-07-11,0.3758
1341,473293,2019-07-11,0.0688
1341,5350490,2019-07-11,0.0012
1717,128100,2019-07-11,1.0047
1729,471138,2019-07-11,1.4811
1302,364010,2019-07-11,0.2909
1341,208,2019-07-11,15.0821
2435,12997,2019-07-11,0.2411
1302,6668,2019-07-11,1.8204
1341,494595,2019-07-11,0.0043
2435,78788,2019-07-11,0.5664
1729,61315,2019-07-11,0.0239
1302,57059,2019-07-11,0
1717,472371,2019-07-11,0.4606
1341,67263,2019-07-11,6.4068
1729,150903,2019-07-11,0.1651
2435,56854,2019-07-11,0.0014
1729,1733402,2019-07-11,0.0844
1738,66389,2019-07-11,2.1919
2435,42123,2019-07-11,0.2069
1341,447713,2019-07-11,0.0279
1302,119948,2019-07-11,1.6161
2435,473163,2019-07-11,0
2435,25812,2019-07-11,0.0091
1729,12614,2019-07-11,0.3031
1717,62572,2019-07-11,5.9809
1302,79389,2019-07-11,1.1713
1729,16087,2019-07-11,0.2986
1717,994996,2019-07-11,1.2768
1717,417372,2019-07-11,0.0059
1302,348355,2019-07-11,0
1717,287739,2019-07-11,0.7626
1302,95389,2019-07-11,2.8618
1738,150897,2019-07-11,0.4111
2435,125079,2019-07-11,4e-04
1738,25188,2019-07-11,1.6865
1302,35392,2019-07-11,2.4541
1302,995795,2019-07-11,0.0466
2435,66136,2019-07-11,1.4291
1738,102124,2019-07-11,0.2816
1717,15059,2019-07-11,8.7524
1302,1298,2019-07-11,0.0875
1341,66860,2019-07-11,0.7076
2435,37341,2019-07-11,0.0905
1341,465694,2019-07-11,0.049
1302,995108,2019-07-11,1.4055
1729,30533,2019-07-11,0.3311
1341,473323,2019-07-11,0.8378
1302,287739,2019-07-11,2.2292
2435,471091,2019-07-11,0.2833
1729,70942,2019-07-11,0.1614
1738,494595,2019-07-11,0.4023
1302,4820826,2019-07-11,36.2307
1341,15059,2019-07-11,5.9286
1729,150897,2019-07-11,0.1402
1302,135160,2019-07-11,1.024
1729,447713,2019-07-11,3e-04
1729,102100,2019-07-11,0.5436
1717,98113,2019-07-11,0.0057
1341,1915,2019-07-11,0.042
1738,465830,2019-07-11,0.4668
2435,139465,2019-07-11,0.0786
2435,1304,2019-07-11,0.6982
1717,55635,2019-07-11,0.1544
1738,98113,2019-07-11,0.4742
1341,5678,2019-07-11,0
1302,466776,2019-07-11,3.3752
1302,41027,2019-07-11,2.4562
2435,471145,2019-07-11,0.754
1341,79389,2019-07-11,1.1853
1302,80095,2019-07-11,0.2437
1341,42123,2019-07-11,0.2633
1717,71727,2019-07-11,0.1684
1717,32087,2019-07-11,0.0115
1341,465632,2019-07-11,0.1541
1302,42123,2019-07-11,0.0888
1302,74773,2019-07-11,0.0393
1341,61643,2019-07-11,0
1341,216760,2019-07-11,0.3298
1341,12768,2019-07-11,0.2694
1717,352,2019-07-11,0.7837
1341,115636,2019-07-11,0.4782
1302,11068,2019-07-11,1.3268
1717,10238,2019-07-11,0.2333
2435,1205848,2019-07-11,0.0212
1341,216944,2019-07-11,0.5403
1302,489584,2019-07-11,0.0259
1341,95389,2019-07-11,1.4305
1717,216944,2019-07-11,0
1302,128728,2019-07-11,0.0052
2435,95877,2019-07-11,1.0893
1729,18715,2019-07-11,1.0401
1302,536,2019-07-11,0.0238
1302,331784,2019-07-11,1.3264
2435,426947,2019-07-11,0.189
1302,151023,2019-07-11,2.8705
1341,19095,2019-07-11,0.1607
1341,12249,2019-07-11,3.1946
1717,264051,2019-07-11,0.5501
2435,63173,2019-07-11,2.6407
1341,74773,2019-07-11,0.2508
1738,4820833,2019-07-11,27.8164
1738,471091,2019-07-11,13.435
1717,12010,2019-07-11,1.3474
2435,128100,2019-07-11,0.3472
2435,44912,2019-07-11,0.1788
1738,95877,2019-07-11,1.3553
1717,11280,2019-07-11,0.0515
1717,37051,2019-07-11,0.2131
1341,10924,2019-07-11,0.5025
1738,46510,2019-07-11,0.3391
1717,435833,2019-07-11,0.1025
1729,412575,2019-07-11,1.9178
1302,441377,2019-07-11,0.0762
1341,488402,2019-07-11,1.3805
2435,41041,2019-07-11,0.3116
1729,11945,2019-07-11,0.2349
1341,54294,2019-07-11,0.7882
1729,888,2019-07-11,8.2286
2435,31240,2019-07-11,1.3368
1729,41041,2019-07-11,1.0231
1717,95877,2019-07-11,10.9973
1302,54300,2019-07-11,0.0046
2435,472654,2019-07-11,0.0215
2435,77521,2019-07-11,0.4967
1738,15059,2019-07-11,0.6079
1717,63210,2019-07-11,4.5391
1729,9638,2019-07-11,0.0687
1302,222945,2019-07-11,0.2353
1717,472630,2019-07-11,0.2889
1302,98243,2019-07-11,3.1968
1738,1915,2019-07-11,1e-04
1717,472654,2019-07-11,0.3168
1738,244640,2019-07-11,0.7637
1717,87247,2019-07-11,0.3117
1341,871099,2019-07-11,1.35
1738,52924,2019-07-11,0.832
1717,37341,2019-07-11,0.3293
1717,473064,2019-07-11,0.0501
1729,77910,2019-07-11,0.0452
2435,443784,2019-07-11,0.4212
1341,57288,2019-07-11,0.1094
1341,42338,2019-07-11,0.2281
1738,102100,2019-07-11,1.2187
1341,46930,2019-07-11,0.008
1738,208,2019-07-11,14.9967
2435,473057,2019-07-11,0.8054
1717,25645,2019-07-11,0.8299
1717,489584,2019-07-11,0.2313
2435,61179,2019-07-11,1.8477
1341,40372,2019-07-11,1.5248
1738,421935,2019-07-11,117.0643
1738,280877,2019-07-11,0.2182
1302,77231,2019-07-11,3.1849
1717,78788,2019-07-11,0.6043
1738,54003,2019-07-11,0.6208
1717,74896,2019-07-11,0.1932
1302,36559,2019-07-11,0.9204
1717,18449,2019-07-11,0.004
1302,465694,2019-07-11,0.0632
1717,61643,2019-07-11,1.0356
1729,471091,2019-07-11,5.8813
1717,6884406,2019-07-11,0.0181
1341,52351,2019-07-11,1.1336
1717,18715,2019-07-11,1.7291
1717,5029,2019-07-11,11.2168
1729,63357,2019-07-11,1.9112
1717,38997,2019-07-11,0.4488
2435,1250,2019-07-11,0.138
1341,84987,2019-07-11,0.1419
1341,66136,2019-07-11,8.3028
1302,119986,2019-07-11,1.1222
1738,16087,2019-07-11,0.3156
2435,42338,2019-07-11,0.1281
1341,441315,2019-07-11,0.2753
1717,80132,2019-07-11,0.1435
1717,473736,2019-07-11,0.4314
1302,84994,2019-07-11,1.7806
1729,51705,2019-07-11,6.0365
1302,5029,2019-07-11,6.8926
1738,30151,2019-07-11,2.7309
1729,421935,2019-07-11,133.0213
1729,1281,2019-07-11,3.0961
1729,102209,2019-07-11,0.2437
1302,331623,2019-07-11,0.0492
1341,209366,2019-07-11,6.3743
1738,473712,2019-07-11,0.2226
1738,63357,2019-07-11,1.0012
1302,11099,2019-07-11,0.4474
1341,16087,2019-07-11,0.8031
1302,8280,2019-07-11,0.3091
1729,44189,2019-07-11,0.2563
1729,229692,2019-07-11,0.0012
1729,49771,2019-07-11,0.2593
1717,14892,2019-07-11,0.0172
1717,175357,2019-07-11,2.2911
1738,34500,2019-07-11,4.6487
1341,66389,2019-07-11,0.7403
1341,476140,2019-07-11,0.0066
1738,10238,2019-07-11,0.02
1717,54270,2019-07-11,0.0265
1738,61315,2019-07-11,0.0326
1302,69045,2019-07-11,1.357
1302,89135,2019-07-11,0.1829
1341,287739,2019-07-11,0.7666
1738,102162,2019-07-11,0.3434
1717,1915,2019-07-11,3.8318
1302,95921,2019-07-11,5.2488
1302,66860,2019-07-11,0.6913
1729,19934,2019-07-11,0.1614
1341,150927,2019-07-11,0.5225
1717,139465,2019-07-11,0.6946
1341,143981,2019-07-11,0
1302,12768,2019-07-11,0.6361
1341,80095,2019-07-11,0.1951
1302,1250,2019-07-11,1.2649
1738,441162,2019-07-12,0.7699
1341,150903,2019-07-11,1.2503
1738,51705,2019-07-11,6.0376
1717,12775,2019-07-11,19.7956
2435,488624,2019-07-11,0.3748
1717,77392,2019-07-11,0.2177
1738,9201,2019-07-11,0.3402
1302,73486,2019-07-11,0.9375
1717,1809,2019-07-11,0.8238
1302,876612,2019-07-11,0.4116
1738,63173,2019-07-11,2.5623
2435,303040,2019-07-11,0.0359
1341,82341,2019-07-11,0.5271
1717,471114,2019-07-11,1.0221
1341,345668,2019-07-12,0.0712
1717,31240,2019-07-11,5.5749
1738,426947,2019-07-11,0.8708
1717,120975,2019-07-11,0.2333
1302,345989,2019-07-12,0.3026
1738,13116,2019-07-11,1.9144
1341,426947,2019-07-11,0.675
2435,417372,2019-07-11,0
1302,88718,2019-07-11,0.1219
2435,97314,2019-07-11,0.2125
1738,39345,2019-07-11,0.0941
1729,66389,2019-07-11,0.5926
1738,42659,2019-07-11,2.8003
1717,488495,2019-07-11,6e-04
1717,12768,2019-07-11,0.3793
2435,8440,2019-07-11,0.3718
1302,12010,2019-07-12,0.3465
1717,131124,2019-07-11,7.9227
1302,1854,2019-07-11,0.0169
1729,84086,2019-07-11,0.9101
1717,1281,2019-07-11,2.4951
2435,46930,2019-07-11,0.1891
1717,414630,2019-07-11,0.2171
2435,10528,2019-07-12,1.8942
1341,418492,2019-07-11,1.6212
1738,12010,2019-07-11,1.6666
1738,71727,2019-07-11,0
1717,82587,2019-07-11,1.3744
1341,473279,2019-07-11,0.2895
1717,52474,2019-07-11,0.0213
1729,132145,2019-07-11,5.4862
1302,18449,2019-07-11,0.2239
1729,378055,2019-07-11,1.303
1341,73486,2019-07-11,0.4688
1729,52542,2019-07-11,41.0301
2435,1311,2019-07-12,1.2054
1738,441209,2019-07-11,6.898
1717,12614,2019-07-11,0.3537
1717,280860,2019-07-11,0.3884
2435,44189,2019-07-11,0.1456
1341,16926,2019-07-11,0.1484
2435,443777,2019-07-11,0.4225
2435,472326,2019-07-11,0.0794
1341,488495,2019-07-11,0.5584
1302,32155,2019-07-11,8.8843
1738,216944,2019-07-11,0.1448
1302,87247,2019-07-11,0.0754
1302,77910,2019-07-11,0.0955
1729,69045,2019-07-11,0.0016
1717,472326,2019-07-11,0.5144
1717,1304,2019-07-11,3.2618
1717,36559,2019-07-11,0.8601
2435,29421,2019-07-11,0.5923
1341,465762,2019-07-11,0.1289
1341,65795,2019-07-11,1.8603
2435,169851,2019-07-11,0.4151
1717,61179,2019-07-11,1.1989
1738,244466,2019-07-11,0.512
1729,63173,2019-07-11,7.0854
1717,473163,2019-07-11,0.0066
1717,244640,2019-07-12,2.5961
1302,150903,2019-07-11,0
1729,37341,2019-07-11,0.5065
1729,83478,2019-07-11,0
1341,417488,2019-07-12,0.0021
1729,25188,2019-07-11,0.3327
1717,417488,2019-07-11,2.2678
2435,89326,2019-07-11,0.0485
1341,473224,2019-07-11,2.1381
1717,473071,2019-07-11,0.0503
2435,472449,2019-07-12,0.2357
1341,464536,2019-07-11,2.9253
1738,84994,2019-07-11,0.1692
1717,995108,2019-07-11,0.4503
1738,10993,2019-07-11,0.1852
1729,95921,2019-07-11,0.6598
1341,52375,2019-07-12,1.4473
1302,92388,2019-07-11,0.1841
1729,468596,2019-07-11,0.01
1302,352,2019-07-11,0.0672
2435,3440087,2019-07-11,1.973
1341,121491,2019-07-11,0.8217
2435,42659,2019-07-11,1.4488
2435,128056,2019-07-11,0.0316
1302,37051,2019-07-12,0.2514
1302,244640,2019-07-11,1.1869
2435,789,2019-07-11,0.0842
2435,87247,2019-07-11,0.0543
2435,49771,2019-07-11,0.8198
1729,483964,2019-07-12,0.0048
1302,54270,2019-07-11,0.1741
1738,36559,2019-07-11,0.8647
2435,81641,2019-07-11,1e-04
1302,378055,2019-07-11,3.3575
2435,417488,2019-07-11,1.6004
1341,65535,2019-07-12,0.7922
2435,80095,2019-07-11,0.1147
1717,417495,2019-07-11,2.0108
1717,901,2019-07-11,4.092
1302,140195,2019-07-11,2.342
1717,472418,2019-07-11,2.1377
1341,76869,2019-07-11,0.762
1729,5029,2019-07-11,8.8075
1717,412575,2019-07-11,0
1341,119986,2019-07-11,0.022
1302,5951,2019-07-11,0.4156
1738,37341,2019-07-11,0.6191
2435,54300,2019-07-11,0.0143
1717,473040,2019-07-11,2.235
1302,10924,2019-07-11,0.8895
1717,464703,2019-07-11,0.0627
1717,47197,2019-07-11,0.5441
1302,471138,2019-07-11,1.9038
1302,56854,2019-07-11,0.5914
1302,488402,2019-07-11,4.0244
1341,37495,2019-07-11,0.2169
2435,280860,2019-07-11,0.1445
1729,54690,2019-07-11,0.3953
1302,264051,2019-07-11,0.0694
2435,77392,2019-07-11,0.0018
1738,120975,2019-07-11,9e-04
1341,63906,2019-07-11,0.8155
2435,16339,2019-07-11,0.7892
1729,12997,2019-07-11,0.4104
1738,150927,2019-07-11,0.0061
1738,52375,2019-07-11,16.2044
1302,473323,2019-07-11,3.0775
1717,74667,2019-07-11,0
1302,1335,2019-07-11,4.6111
1738,30533,2019-07-11,0.6623
2435,143745,2019-07-11,17.5872
1341,16339,2019-07-11,7.6079
1729,441209,2019-07-11,2.4274
2435,61315,2019-07-11,0.074
1302,441384,2019-07-11,0.0087
1738,54294,2019-07-11,0.2755
1717,73318,2019-07-11,2.1451
1738,263610,2019-07-11,1.871
1302,119979,2019-07-11,0.2519
1717,11068,2019-07-11,0.0878
1302,471114,2019-07-11,3e-04
1717,30533,2019-07-11,1.2981
1717,65795,2019-07-11,0.0694
1738,132145,2019-07-11,23.8852
1738,280822,2019-07-11,0.4276
1341,50371,2019-07-11,0.7027
1717,62749,2019-07-12,0.2607
1738,464536,2019-07-11,1.5485
1717,471091,2019-07-11,0.7398
1717,63357,2019-07-11,0.2097
1717,383,2019-07-11,0.0891
1302,84987,2019-07-11,0.3018
1341,40648,2019-07-11,0.0052
1729,494595,2019-07-11,0.0521
1729,52924,2019-07-12,0.8017
1302,19095,2019-07-11,0.3037
1341,303057,2019-07-11,1.4492
1302,12881,2019-07-11,0.1517
1341,150897,2019-07-11,1.2378
1302,208,2019-07-11,26.3651
1717,216760,2019-07-11,0.0623
1302,488495,2019-07-11,2.2957
1341,44189,2019-07-11,0.0586
1717,128100,2019-07-12,1.2766
1729,63210,2019-07-11,0.6241
1738,99165,2019-07-11,1.2129
1341,468589,2019-07-11,2.923
2435,263986,2019-07-11,0.1892
1341,140379,2019-07-11,0.4783
1341,97314,2019-07-11,0.007
1738,92326,2019-07-11,29.4525
1729,144919,2019-07-11,5e-04
1729,23634,2019-07-11,7e-04
1302,494595,2019-07-11,1.3803
1341,67263,2019-07-12,7.4592
1729,150903,2019-07-12,0.2471
2435,56854,2019-07-12,0.0019
1341,1335,2019-07-11,1.7815
1738,16339,2019-07-11,5.499
1729,52375,2019-07-11,10.3688
1302,76395,2019-07-11,0
2435,52375,2019-07-11,0.1591
1738,83478,2019-07-11,0.2855
1729,10924,2019-07-11,0.0444
1729,80095,2019-07-11,0.0133
1302,132145,2019-07-11,20.1705
1302,150897,2019-07-11,0.3131
1729,16087,2019-07-12,0.2758
1717,10924,2019-07-11,0.0569
1738,54300,2019-07-11,0.0464
1302,1915,2019-07-11,0.0345
1729,120975,2019-07-11,0
2435,443760,2019-07-11,0.3116
1738,150897,2019-07-12,0.5335
2435,125079,2019-07-12,4e-04
1717,364010,2019-07-11,0.0173
1717,24297,2019-07-11,0.2702
1302,348270,2019-07-11,0.5763
1729,46510,2019-07-11,0.0184
1341,23986,2019-07-11,0.1041
1341,263610,2019-07-11,0.0212
1341,49771,2019-07-11,0.6784
1729,4820826,2019-07-11,11.2226
2435,417433,2019-07-11,0.6233
1738,536,2019-07-11,0.1228
1738,994996,2019-07-11,40.195
1729,435994,2019-07-11,6e-04
1729,31240,2019-07-11,0.7356
2435,244466,2019-07-11,0.4708
1717,1311,2019-07-11,4.8519
2435,58650,2019-07-11,2e-04
1717,472715,2019-07-11,0.2451
1738,617987,2019-07-11,0.0021
1302,468596,2019-07-11,4.4146
1341,439626,2019-07-11,0.5743
1717,25331,2019-07-11,0.2474
1729,447713,2019-07-12,2e-04
2435,409254,2019-07-11,0.0019
1738,222945,2019-07-11,0.1065
1302,465656,2019-07-11,0
1341,420,2019-07-11,0.109
1717,473095,2019-07-11,3.0829
1717,66136,2019-07-11,0.6179
1302,140379,2019-07-11,1.3169
1302,121507,2019-07-11,0.9698
1738,77910,2019-07-11,0.023
1302,1733402,2019-07-11,4.3558
1302,39345,2019-07-11,1.5312
2435,376,2019-07-11,2e-04
1302,14892,2019-07-11,0.0326
1717,244466,2019-07-11,0.9297
2435,13116,2019-07-11,1.1733
1341,61179,2019-07-11,0.9536
1717,74209,2019-07-11,0.3999
1729,120951,2019-07-11,0
1302,30151,2019-07-11,1.019
2435,85601,2019-07-11,2.4575
1341,277,2019-07-11,0.2324
1717,95747,2019-07-11,0.1704
1341,99165,2019-07-11,1.7602
1302,121491,2019-07-11,0.1009
2435,472197,2019-07-11,0.577
2435,25188,2019-07-11,0.5856
1717,471138,2019-07-11,2.1356
2435,1573954,2019-07-11,0.9198
1341,216944,2019-07-12,0.6849
1729,81641,2019-07-11,0.7955
1717,826,2019-07-11,0.5545
1341,115582,2019-07-11,0.5714
1302,473316,2019-07-11,0.6212
1738,303057,2019-07-11,0.4294
1302,335751,2019-07-11,1.019
1738,143981,2019-07-11,0.1437
1302,63173,2019-07-11,4.9674
2435,426947,2019-07-12,0.2075
1302,151023,2019-07-12,2.8937
1341,42994,2019-07-11,0.003
1738,18449,2019-07-11,0.0646
2435,352,2019-07-11,0.0067
1729,59985,2019-07-11,37.1695
1738,56854,2019-07-11,0.3436
2435,77910,2019-07-11,0.0173
1302,9201,2019-07-11,3.3509
1729,471145,2019-07-11,0.417
1738,102209,2019-07-11,0.4767
1717,472173,2019-07-11,0.3394
1729,32155,2019-07-11,0.5556
1729,802,2019-07-11,0.5474
2435,473064,2019-07-11,0
1302,11945,2019-07-11,0.3986
1729,92326,2019-07-11,14.6121
1341,335751,2019-07-11,0.7651
1729,95877,2019-07-11,2.5742
1729,143981,2019-07-11,0.0165
1717,84994,2019-07-11,0.0062
1738,444,2019-07-11,0.0897
1729,131124,2019-07-11,1.8832
1717,737272,2019-07-11,3.6187
2435,472111,2019-07-11,0.3564
1717,472548,2019-07-11,0.3855
2435,888,2019-07-11,0.5484
1302,72250,2019-07-11,0
1717,472814,2019-07-11,0.0497
1729,352,2019-07-11,0.0905
1738,28202,2019-07-11,1.8899
1717,52924,2019-07-11,1.0977
1302,16339,2019-07-11,10.9959
1341,132145,2019-07-11,6.5785
1729,345538,2019-07-11,0.025
1738,216760,2019-07-11,0.3257
1729,9201,2019-07-11,0.0045
1302,9638,2019-07-11,2.0144
1738,277,2019-07-11,0.3577
1738,471138,2019-07-11,0.441
1341,13116,2019-07-11,1.8165
1717,89326,2019-07-11,0.1594
1729,209366,2019-07-11,4.447
1341,41027,2019-07-11,1.5536
1729,826,2019-07-11,0.5894
1341,46510,2019-07-11,0.5057
2435,443784,2019-07-12,0.3726
2435,95389,2019-07-11,0.0016
1302,465960,2019-07-11,0.413
1729,42659,2019-07-11,5.8095
1341,46930,2019-07-12,0.0109
1302,120005,2019-07-11,1.185
1341,60066,2019-07-11,0.4322
1302,24297,2019-07-11,2.7391
1341,19934,2019-07-11,0.3981
2435,61179,2019-07-12,1.9494
1341,40372,2019-07-12,1.7182
1738,888,2019-07-11,3.3506
1738,11068,2019-07-11,4.6109
1729,24297,2019-07-11,1.7024
1738,128728,2019-07-11,0.1598
1302,44912,2019-07-11,17.0878
1302,473293,2019-07-11,0.063
2435,471053,2019-07-11,1.079
2435,89135,2019-07-11,0.0672
1302,70942,2019-07-11,7.7059
1302,55635,2019-07-11,0.0063
1302,44189,2019-07-11,0.2127
1738,10191,2019-07-11,2.2827
1302,131124,2019-07-11,11.7334
1717,140652,2019-07-11,0.1564
1738,19934,2019-07-11,0.0014
2435,901,2019-07-11,1.2109
1302,412575,2019-07-11,0
2435,473736,2019-07-11,0.1309
2435,244640,2019-07-11,0.723
1341,421935,2019-07-11,82.3782
1729,88718,2019-07-11,0.3198
1729,400947,2019-07-11,5e-04
2435,151023,2019-07-11,0.1307
1302,1311,2019-07-11,18.7148
1302,98076,2019-07-11,0
1738,24297,2019-07-11,2.206
1341,56854,2019-07-11,0.0151
1302,93002,2019-07-11,0.5102
1341,488624,2019-07-11,0
1302,30533,2019-07-11,2.341
1341,244466,2019-07-11,0.792
1341,59985,2019-07-11,0.3688
1717,44189,2019-07-11,0.5904
1341,8440,2019-07-11,0.2962
1717,161091,2019-07-11,0.4556
2435,472807,2019-07-11,1.0647
1341,447003,2019-07-11,0.393
1717,89135,2019-07-11,0.3404
2435,70935,2019-07-11,0.0147
1302,54294,2019-07-11,2.3329
1717,41041,2019-07-11,5.9343
2435,12775,2019-07-11,5.0493
1341,471091,2019-07-11,2.2398
1729,77224,2019-07-11,2.0339
1341,52542,2019-07-11,1.462
1341,888,2019-07-11,7.9031
1738,5350490,2019-07-11,0.8074
1341,54300,2019-07-11,0.0235
1717,54300,2019-07-11,0.005
1717,44349,2019-07-11,1.6251
1717,40648,2019-07-11,0.0364
1717,3212028,2019-07-11,0.037
1302,61315,2019-07-11,0.1876
1341,44455,2019-07-11,0.0018
2435,62718,2019-07-11,0.1162
1738,263733,2019-07-11,0.6997
1738,5029,2019-07-11,6.1965
1302,472807,2019-07-11,2.7956
1729,16926,2019-07-11,1.2496
1302,85601,2019-07-11,0.0437
1717,77521,2019-07-11,2.7491
1302,12775,2019-07-11,5.4029
1738,68765,2019-07-11,70.3148
1302,38997,2019-07-11,2.858
1341,280860,2019-07-11,0.2441
1738,441162,2019-07-13,1.0107
