"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
2435,216760,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","CUBOS PERNIL SUINO RESF KG (CORTES)",4.23,733,31,42,415.75
2435,473163,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","CG BIFE A MINEIRA TERNEIRO",100,1,1,1,8.65
2435,280877,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","ALCATRA SUINA RESF KG (CORTE)",4.01,598,24,27,242.34
2435,19934,"CARNES E AVES","CARNES","AVES","AVES-RESFRIADAS","RESF - CORTES ESPECIAIS FRANGO","COXA FGO S/PELE RESF GNEL KG",13.31,714,95,123,1063.82
2435,280884,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","PATINHO SUINO RESF KG (CORTE)",5.29,624,33,39,350.53
2435,418508,"CARNES E AVES","CARNES","AVES","AVES-RESFRIADAS","RESF - CORTES FRANGO GENERICO","SOBRECOXA FGO RESF FAMILIAR KG",100,2,2,3,55.47
2435,54270,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","BARRIGA SUINA RESF               KG",1.3,690,9,9,83.32
2435,140195,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","FRIO ESPECIAL MANIPULADO","SALSICHA ESPECIAL MANIPULADA","SALS VIENA CERATTI GNEL",69.97,756,529,1113,8700.51
2435,76395,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","QUEIJOS MANIPULADOS","QUEIJO PROVOLONE MANIPULADO","PROVOLONE FATIADO MANIPULADO","QJ PROV FATIADO C/CASCA",24.7,498,123,269,1828.6
2435,57288,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","FRIO ESPECIAL MANIPULADO","ESPECIALIDADE SUINO MANIPULADO","COPA DEFUMADA KASSEL FT",33.16,561,186,456,2240.1
